"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 24, 2018","702.97","644.55","711.58","642.25","9.34K","9.06%"
"Apr 23, 2018","644.55","618.73","649.00","618.73","3.98K","4.17%"
"Apr 22, 2018","618.73","604.00","644.16","591.52","9.88K","2.44%"
"Apr 21, 2018","604.00","619.00","624.00","573.01","15.45K","-2.11%"
"Apr 20, 2018","617.00","566.86","620.81","558.00","12.13K","8.93%"
"Apr 19, 2018","566.42","523.57","570.00","522.52","7.52K","8.18%"
"Apr 18, 2018","523.57","503.68","528.27","501.70","4.27K","3.95%"
"Apr 17, 2018","503.68","513.74","520.77","500.57","8.59K","-1.96%"
"Apr 16, 2018","513.74","533.60","537.00","498.00","12.18K","-3.72%"
"Apr 15, 2018","533.60","503.00","533.60","503.00","8.92K","6.08%"
"Apr 14, 2018","503.00","493.53","515.00","485.14","6.47K","2.52%"
"Apr 13, 2018","490.63","496.02","528.70","482.50","17.17K","-0.88%"
"Apr 12, 2018","495.00","430.62","498.50","412.24","19.74K","14.95%"
"Apr 11, 2018","430.62","414.48","433.00","410.01","5.49K","3.89%"
"Apr 10, 2018","414.48","398.25","417.00","392.00","3.88K","4.08%"
"Apr 09, 2018","398.25","400.00","430.50","387.48","9.94K","-0.44%"
"Apr 08, 2018","400.00","385.72","404.00","384.00","3.82K","3.70%"
"Apr 07, 2018","385.72","369.72","394.16","368.80","6.69K","4.33%"
"Apr 06, 2018","369.72","381.00","385.00","363.94","4.34K","-2.96%"
"Apr 05, 2018","381.00","378.67","386.73","367.16","6.98K","0.28%"
"Apr 04, 2018","379.94","414.99","416.24","370.00","15.60K","-8.45%"
"Apr 03, 2018","414.99","385.05","419.17","379.10","9.17K","7.78%"
"Apr 02, 2018","385.05","379.59","394.45","375.05","5.60K","1.44%"
"Apr 01, 2018","379.59","395.00","400.24","358.95","10.87K","-3.90%"
"Mar 31, 2018","395.00","391.52","418.00","389.79","11.12K","0.13%"
"Mar 30, 2018","394.49","383.15","412.00","365.35","22.62K","3.07%"
"Mar 29, 2018","382.74","447.03","449.00","378.48","24.16K","-14.38%"
"Mar 28, 2018","447.03","449.65","464.90","440.00","5.56K","-0.58%"
"Mar 27, 2018","449.65","485.08","491.56","445.00","10.13K","-7.30%"
"Mar 26, 2018","485.08","522.66","527.42","466.39","12.47K","-7.19%"
"Mar 25, 2018","522.66","520.00","536.00","513.00","3.62K","0.51%"
"Mar 24, 2018","520.00","541.06","544.99","518.73","4.20K","-4.06%"
"Mar 23, 2018","542.00","537.46","542.18","507.46","7.37K","0.84%"
"Mar 22, 2018","537.46","561.78","578.86","516.11","9.05K","-4.37%"
"Mar 21, 2018","562.00","557.00","591.76","543.64","9.38K","1.35%"
"Mar 20, 2018","554.49","557.00","567.99","516.00","12.69K","-0.32%"
"Mar 19, 2018","556.29","538.00","559.68","515.26","17.16K","3.40%"
"Mar 18, 2018","538.00","550.00","561.50","455.10","28.29K","-2.18%"
