"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 14, 2018","100.697","93.366","102.526","92.500","7.51K","7.85%"
"Jun 13, 2018","93.366","99.277","100.497","89.010","9.57K","-5.95%"
"Jun 12, 2018","99.277","107.288","107.662","97.338","6.58K","-6.87%"
"Jun 11, 2018","106.600","106.649","108.151","103.000","5.53K","-0.05%"
"Jun 10, 2018","106.649","118.056","118.056","102.501","11.74K","-9.66%"
"Jun 09, 2018","118.056","120.422","121.450","117.308","1.20K","-1.96%"
"Jun 08, 2018","120.421","121.700","122.000","118.615","1.26K","-1.05%"
"Jun 07, 2018","121.700","121.260","123.747","119.800","1.74K","0.36%"
"Jun 06, 2018","121.260","122.000","122.947","118.100","2.59K","-0.61%"
"Jun 05, 2018","122.000","119.572","122.999","116.000","3.22K","2.03%"
"Jun 04, 2018","119.572","124.890","126.999","118.000","3.92K","-4.26%"
"Jun 03, 2018","124.890","123.850","128.470","122.079","4.56K","0.84%"
"Jun 02, 2018","123.850","120.000","124.880","118.899","3.75K","3.21%"
"Jun 01, 2018","120.000","118.000","120.405","116.780","2.24K","1.69%"
"May 31, 2018","118.000","117.100","121.000","116.390","3.55K","0.57%"
"May 30, 2018","117.327","119.548","122.600","114.500","3.18K","-1.86%"
"May 29, 2018","119.548","110.500","122.620","110.000","5.69K","8.19%"
"May 28, 2018","110.500","117.920","118.969","110.000","4.56K","-6.29%"
"May 27, 2018","117.920","118.000","119.351","116.500","1.80K","-0.07%"
"May 26, 2018","118.000","118.730","122.568","117.127","2.72K","-0.61%"
"May 25, 2018","118.730","123.147","124.000","117.000","2.91K","-3.53%"
"May 24, 2018","123.070","118.950","124.900","115.000","4.96K","3.46%"
"May 23, 2018","118.950","128.384","129.548","115.981","6.26K","-7.35%"
"May 22, 2018","128.384","134.796","136.024","127.509","2.76K","-4.33%"
"May 21, 2018","134.200","139.900","140.267","133.344","2.44K","-4.07%"
"May 20, 2018","139.900","134.962","140.680","132.500","2.32K","3.19%"
"May 19, 2018","135.578","136.438","137.761","133.010","1.85K","-0.63%"
"May 18, 2018","136.438","131.720","137.944","128.384","4.78K","3.59%"
"May 17, 2018","131.710","139.870","141.500","131.000","4.28K","-5.84%"
"May 16, 2018","139.886","139.125","141.428","133.873","4.63K","0.55%"
"May 15, 2018","139.125","146.934","149.209","138.000","6.47K","-5.58%"
"May 14, 2018","147.352","144.103","152.702","134.117","11.25K","2.25%"
"May 13, 2018","144.103","142.158","146.971","136.470","6.08K","1.37%"
"May 12, 2018","142.158","135.210","144.351","130.657","6.20K","4.89%"
"May 11, 2018","135.530","147.500","149.534","132.421","16.31K","-8.12%"
"May 10, 2018","147.500","157.000","160.950","147.500","7.28K","-6.05%"
"May 09, 2018","157.000","159.000","160.231","151.212","5.63K","-1.26%"
"May 08, 2018","159.000","164.750","168.959","157.335","5.23K","-3.55%"
"May 07, 2018","164.850","173.291","173.291","157.815","8.85K","-4.71%"
"May 06, 2018","173.000","178.110","184.000","165.000","11.58K","-3.11%"
"May 05, 2018","178.553","169.250","183.998","168.310","16.82K","5.50%"
"May 04, 2018","169.250","161.301","171.600","157.001","14.34K","4.93%"
"May 03, 2018","161.301","151.930","164.818","150.250","16.70K","6.17%"
"May 02, 2018","151.930","148.004","154.449","146.108","7.55K","1.82%"
"May 01, 2018","149.207","148.432","149.207","142.800","5.32K","0.52%"
"Apr 30, 2018","148.432","154.000","154.500","146.400","5.18K","-3.62%"
"Apr 29, 2018","154.000","152.542","156.476","148.000","13.41K","0.96%"
"Apr 28, 2018","152.542","145.500","153.798","145.086","6.50K","4.77%"
"Apr 27, 2018","145.600","154.017","154.017","145.130","13.18K","-5.30%"
"Apr 26, 2018","153.755","145.463","154.299","142.000","10.13K","5.70%"
"Apr 25, 2018","145.463","164.818","164.818","142.511","31.00K","-11.30%"
"Apr 24, 2018","164.003","152.670","166.000","152.670","21.52K","7.42%"
"Apr 23, 2018","152.670","147.232","153.810","146.596","10.77K","4.14%"
"Apr 22, 2018","146.596","148.388","153.200","144.255","7.61K","-0.97%"
"Apr 21, 2018","148.026","155.800","156.922","140.420","21.94K","-4.68%"
"Apr 20, 2018","155.300","146.100","156.100","142.683","13.31K","6.30%"
"Apr 19, 2018","146.100","140.500","147.500","138.561","10.96K","3.99%"
"Apr 18, 2018","140.500","132.117","142.254","131.605","12.69K","6.02%"
"Apr 17, 2018","132.522","128.397","140.600","128.397","31.45K","3.21%"
"Apr 16, 2018","128.397","132.700","133.678","124.925","13.18K","-3.24%"
"Apr 15, 2018","132.700","126.390","133.411","125.703","8.89K","4.99%"
"Apr 14, 2018","126.390","125.000","129.934","124.216","9.06K","1.11%"
"Apr 13, 2018","125.000","130.000","134.181","124.000","24.52K","-3.85%"
"Apr 12, 2018","130.000","118.200","130.780","112.680","35.78K","9.64%"
"Apr 11, 2018","118.566","114.064","120.000","112.680","4.66K","3.95%"
"Apr 10, 2018","114.064","114.834","115.000","111.600","4.56K","-0.67%"
"Apr 09, 2018","114.834","117.800","122.900","112.450","10.96K","-2.52%"
"Apr 08, 2018","117.800","115.310","118.832","115.225","4.64K","2.16%"
"Apr 07, 2018","115.310","112.996","119.656","112.010","6.53K","2.05%"
"Apr 06, 2018","112.996","118.300","120.200","111.588","9.23K","-4.48%"
"Apr 05, 2018","118.300","118.732","122.500","113.589","7.83K","-0.36%"
"Apr 04, 2018","118.732","134.000","134.673","114.883","18.13K","-11.39%"
"Apr 03, 2018","134.000","119.244","136.400","118.000","12.92K","12.37%"
"Apr 02, 2018","119.244","114.455","121.500","114.040","9.93K","4.18%"
"Apr 01, 2018","114.455","116.761","117.987","109.351","10.40K","-1.97%"
"Mar 31, 2018","116.761","119.270","124.300","115.643","9.27K","-1.47%"
"Mar 30, 2018","118.500","115.065","125.900","109.327","25.77K","2.99%"
"Mar 29, 2018","115.065","130.582","132.240","112.600","24.91K","-11.88%"
"Mar 28, 2018","130.582","135.000","140.212","130.000","12.35K","-3.20%"
"Mar 27, 2018","134.900","147.832","149.641","134.900","14.03K","-8.75%"
"Mar 26, 2018","147.832","160.500","161.192","141.547","14.01K","-7.89%"
"Mar 25, 2018","160.500","158.915","163.000","157.000","3.87K","1.58%"
"Mar 24, 2018","158.000","169.000","169.510","158.000","7.02K","-5.97%"
"Mar 23, 2018","168.030","163.000","169.000","156.001","11.05K","3.09%"
"Mar 22, 2018","163.000","168.099","172.999","160.000","12.42K","-3.03%"
"Mar 21, 2018","168.099","168.016","176.000","165.000","13.70K","0.05%"
"Mar 20, 2018","168.016","162.002","173.000","155.890","17.15K","3.71%"
"Mar 19, 2018","162.000","154.369","163.554","150.583","16.20K","4.94%"
"Mar 18, 2018","154.369","151.904","156.954","136.168","31.81K","1.62%"
"Mar 17, 2018","151.904","164.971","166.000","150.385","11.26K","-8.38%"
